title,label,summary
Towards Target High-Utility Itemsets,1,For applied intelligence utility-driven pattern discovery algorithms can identify insightful and useful patterns in databases. However in these techniques for pattern discovery the number of patterns can be huge and the user is often only interested in a few of those patterns. Hence targeted high-utility itemset mining has emerged as a key research topic where the aim is to find a subset of patterns that meet a targeted pattern constraint instead of all patterns. This is a challenging task because efficiently finding tailored patterns in a very large search space requires a targeted mining algorithm. A first algorithm called TargetUM
Rethinking the Event Coding Pipeline with Prompt Entailment,3,"For monitoring crises political events are extracted from the news. The large amount of unstructured full-text event descriptions makes a case-by-case analysis unmanageable particularly for low-resource humanitarian aid organizations. This creates a demand to classify events into event types a task referred to as event coding. Typically domain experts craft an event type ontology annotators label a large dataset and technical experts develop a supervised coding system. In this work we propose PR-ENT a new event coding approach that is more flexible and resource-efficient while maintaining competitive accuracy: first we extend an event description such as ""Military injured two civilians''"
Task-Aware Specialization for Efficient and Robust Dense Retrieval for Open-Domain Question Answering,3,Given its effectiveness on knowledge-intensive natural language processing tasks dense retrieval models have become increasingly popular. Specifically the de-facto architecture for open-domain question answering uses two isomorphic encoders that are initialized from the same pretrained model but separately parameterized for questions and passages. This bi-encoder architecture is parameter-inefficient in that there is no parameter sharing between encoders. Further recent studies show that such dense retrievers underperform BM25 in various settings. We thus propose a new architecture Task-aware Specialization for dense Retrieval (TASER) which enables parameter sharing by interleaving shared and specialized blocks in a single encoder. Our experiments on five
Integrating connection search in graph queries,1,Graph data management and querying has many practical applications. When graphs are very heterogeneous and/or users are unfamiliar with their structure they may need to find how two or more groups of nodes are connected in a graph even when users are not able to describe the connections. This is only partially supported by existing query languages which allow searching for paths but not for trees connecting three or more node groups. The latter is related to the NP-hard Group Steiner Tree problem and has been previously considered for keyword search in databases. In this work we formally show how
Temporal Fuzzy Utility Maximization with Remaining Measure,1,High utility itemset mining approaches discover hidden patterns from large amounts of temporal data. However an inescapable problem of high utility itemset mining is that its discovered results hide the quantities of patterns which causes poor interpretability. The results only reflect the shopping trends of customers which cannot help decision makers quantify collected information. In linguistic terms computers use mathematical or programming languages that are precisely formalized but the language used by humans is always ambiguous. In this paper we propose a novel one-phase temporal fuzzy utility itemset mining approach called TFUM. It revises temporal fuzzy-lists to maintain less but
HUE: Pretrained Model and Dataset for Understanding Hanja Documents of Ancient Korea,3,Historical records in Korea before the 20th century were primarily written in Hanja an extinct language based on Chinese characters and not understood by modern Korean or Chinese speakers. Historians with expertise in this time period have been analyzing the documents but that process is very difficult and time-consuming and language models would significantly speed up the process. Toward building and evaluating language models for Hanja we release the Hanja Understanding Evaluation dataset consisting of chronological attribution topic classification named entity recognition and summary retrieval tasks. We also present BERT-based models continued training on the two major corpora from the
Medha: Microcoded Hardware Accelerator for computing on Encrypted Data,2,Homomorphic encryption (HE) enables computation on encrypted data and hence it has a great potential in privacy-preserving outsourcing of computations to the cloud. Hardware acceleration of HE is crucial as software implementations are very slow. In this paper we present design methodologies for building a programmable hardware accelerator for speeding up the cloud-side homomorphic evaluations on encrypted data. First we propose a divide-and-conquer technique that enables homomorphic evaluations in a large polynomial ring $R_{Q2N}$ to use a hardware accelerator that has been built for the smaller ring $R_{QN}$. The technique makes it possible to use a single hardware accelerator flexibly
Advice Conformance Verification by Reinforcement Learning agents for Human-in-the-Loop,0,Human-in-the-loop (HiL) reinforcement learning is gaining traction in domains with large action and state spaces and sparse rewards by allowing the agent to take advice from HiL. Beyond advice accommodation a sequential decision-making agent must be able to express the extent to which it was able to utilize the human advice. Subsequently the agent should provide a means for the HiL to inspect parts of advice that it had to reject in favor of the overall environment objective. We introduce the problem of Advice-Conformance Verification which requires reinforcement learning (RL) agents to provide assurances to the human in the loop
Type theory in human-like learning and inference,0,"Humans can generate reasonable answers to novel queries (Schulz 2012): if I asked you what kind of food you want to eat for lunch you would respond with a food not a time. The thought that one would respond ""After 4pm"" to ""What would you like to eat"" is either a joke or a mistake and seriously entertaining it as a lunch option would likely never happen in the first place. While understanding how people come up with new ideas thoughts explanations and hypotheses that obey the basic constraints of a novel search space is of central importance to cognitive"
Towards an efficient and risk aware strategy for guiding farmers in identifying best crop management,0,Identification of best performing fertilizer practices among a set of contrasting practices with field trials is challenging as crop losses are costly for farmers. To identify best management practices an ''intuitive strategy'' would be to set multi-year field trials with equal proportion of each practice to test. Our objective was to provide an identification strategy using a bandit algorithm that was better at minimizing farmers' losses occurring during the identification compared with the ''intuitive strategy''. We used a modification of the Decision Support Systems for Agro-Technological Transfer (DSSAT) crop model to mimic field trial responses with a case-study in Southern
Separate and conquer heuristic allows robust mining of contrast sets from various types of data,1,Identifying differences between groups is one of the most important knowledge discovery problems. The procedure also known as contrast sets mining is applied in a wide range of areas like medicine industry or economics. In the paper we present RuleKit-CS an algorithm for contrast set mining based on a sequential covering - a well established heuristic for decision rule induction. Multiple passes accompanied with an attribute penalization scheme allow generating contrast sets describing same examples with different attributes unlike the standard sequential covering. The ability to identify contrast sets in regression and survival data sets the feature not provided by
Faster Secure Comparisons with Offline Phase for Efficient Private Set Intersection,2,In a Private section intersection (PSI) protocol Alice and Bob compute the intersection of their respective sets without disclosing any element not in the intersection. PSI protocols have been extensively studied in the literature and are deployed in industry. With state-of-the-art protocols achieving optimal asymptotic complexity performance improvements are rare and can only improve complexity constants. In this paper we present a new private extremely efficient comparison protocol that leads to a PSI protocol with low constants. A useful property of our comparison protocol is that it can be divided into an online and an offline phase. All expensive cryptographic
Goal Recognition as a Deep Learning Task: the GRNet Approach,0,In automated planning recognising the goal of an agent from a trace of observations is an important task with many applications. The state-of-the-art approaches to goal recognition rely on the application of planning techniques which requires a model of the domain actions and of the initial domain state (written e.g. in PDDL). We study an alternative approach where goal recognition is formulated as a classification task addressed by machine learning. Our approach called GRNet is primarily aimed at making goal recognition more accurate as well as faster by learning how to solve it in a given domain. Given a planning
Stateful active facilitator: Coordination and Environmental Heterogeneity in Cooperative Multi-Agent Reinforcement Learning,0,In cooperative multi-agent reinforcement learning a team of agents works together to achieve a common goal. Different environments or tasks may require varying degrees of coordination among agents in order to achieve the goal in an optimal way. The nature of coordination will depend on properties of the environment -- its spatial layout distribution of obstacles dynamics etc. We term this variation of properties within an environment as heterogeneity. Existing literature has not sufficiently addressed the fact that different environments may have different levels of heterogeneity. We formalize the notions of coordination level and heterogeneity level of an environment and
Relational Message Passing for Fully Inductive Knowledge Graph Completion,0,In knowledge graph completion (KGC) predicting triples involving emerging entities and/or relations which are unseen when the KG embeddings are learned has become a critical challenge. Subgraph reasoning with message passing is a promising and popular solution. Some recent methods have achieved good performance but they (i) usually can only predict triples involving unseen entities alone failing to address more realistic fully inductive situations with both unseen entities and unseen relations and (ii) often conduct message passing over the entities with the relation patterns not fully utilized. In this study we propose a new method named RMPI which uses a
XInsight: eXplainable Data Analysis Through The Lens of Causality,1,In light of the growing popularity of Exploratory Data Analysis (EDA) understanding the underlying causes of the knowledge acquired by EDA is crucial but remains under-researched. This study promotes for the first time a transparent and explicable perspective on data analysis called eXplainable Data Analysis (XDA). XDA provides data analysis with qualitative and quantitative explanations of causal and non-causal semantics. This way XDA will significantly improve human understanding and confidence in the outcomes of data analysis facilitating accurate data interpretation and decision-making in the real world. For this purpose we present XInsight a general framework for XDA. XInsight is a
Continuous Monte Carlo Graph Search,0,In many complex sequential decision making tasks online planning is crucial for high-performance. For efficient online planning Monte Carlo Tree Search (MCTS) employs a principled mechanism for trading off between exploration and exploitation. MCTS outperforms comparison methods in various discrete decision making domains such as Go Chess and Shogi. Following extensions of MCTS to continuous domains have been proposed. However the inherent high branching factor and the resulting explosion of search tree size is limiting existing methods. To solve this problem this paper proposes Continuous Monte Carlo Graph Search (CMCGS) a novel extension of MCTS to online planning in environments
Towards Target Sequential Rules,1,In many real-world applications sequential rule mining (SRM) can provide prediction and recommendation functions for a variety of services. It is an important technique of pattern mining to discover all valuable rules that belong to high-frequency and high-confidence sequential rules. Although several algorithms of SRM are proposed to solve various practical problems there are no studies on target sequential rules. Targeted sequential rule mining aims at mining the interesting sequential rules that users focus on thus avoiding the generation of other invalid and unnecessary rules. This approach can further improve the efficiency of users in analyzing rules and reduce the
When one Logic is Not Enough: Integrating First-order Annotations in OWL Ontologies,0,In ontology development there is a gap between domain ontologies which mostly use the web ontology language OWL and foundational ontologies written in first-order logic FOL. To bridge this gap we present Gavel a tool that supports the development of heterogeneous 'FOWL' ontologies that extend OWL with FOL annotations and is able to reason over the combined set of axioms. Since FOL annotations are stored in OWL annotations FOWL ontologies remain compatible with the existing OWL infrastructure. We show that for the OWL domain ontology OBI the stronger integration with its FOL top-level ontology BFO via our approach enables us
pMPL: A Robust Multi-Party Learning Framework with a Privileged Party,2,In order to perform machine learning among multiple parties while protecting the privacy of raw data privacy-preserving machine learning based on secure multi-party computation (MPL for short) has been a hot spot in recent. The configuration of MPL usually follows the peer-to-peer architecture where each party has the same chance to reveal the output result. However typical business scenarios often follow a hierarchical architecture where a powerful usually privileged party leads the tasks of machine learning. Only the privileged party can reveal the final model even if other assistant parties collude with each other. It is even required to avoid
Manipulation and Peer Mechanisms: A Survey,0,In peer mechanisms the competitors for a prize also determine who wins. Each competitor may be asked to rank grade or nominate peers for the prize. Since the prize can be valuable such as financial aid course grades or an award at a conference competitors may be tempted to manipulate the mechanism. We survey approaches to prevent or discourage the manipulation of peer mechanisms. We conclude our survey by identifying several important research challenges
Exploring Adaptive MCTS with TD Learning in miniXCOM,0,In recent years Monte Carlo tree search (MCTS) has achieved widespread adoption within the game community. Its use in conjunction with deep reinforcement learning has produced success stories in many applications. While these approaches have been implemented in various games from simple board games to more complicated video games such as StarCraft the use of deep neural networks requires a substantial training period. In this work we explore on-line adaptivity in MCTS without requiring pre-training. We present MCTS-TD an adaptive MCTS algorithm improved with temporal difference learning. We demonstrate our new approach on the game miniXCOM a simplified version of
Differentially Private Propensity Scores for Bias Correction,2,In surveys it is typically up to the individuals to decide if they want to participate or not which leads to participation bias: the individuals willing to share their data might not be representative of the entire population. Similarly there are cases where one does not have direct access to any data of the target population and has to resort to publicly available proxy data sampled from a different distribution. In this paper we present Differentially Private Propensity Scores for Bias Correction (DiPPS) a method for approximating the true data distribution of interest in both of the above settings. We
On the complexity of finding set repairs for data-graphs,1,In the deeply interconnected world we live in pieces of information link domains all around us. As graph databases embrace effectively relationships among data and allow processing and querying these connections efficiently they are rapidly becoming a popular platform for storage that supports a wide range of domains and applications. As in the relational case it is expected that data preserves a set of integrity constraints that define the semantic structure of the world it represents. When a database does not satisfy its integrity constraints a possible approach is to search for a 'similar' database that does satisfy the constraints
A Survey: Implementations of Non-fungible Token System in Different Fields,2,In the realm of digital art and collectibles NFTs are sweeping the board. Because of the massive sales to a new crypto audience the livelihoods of digital artists are being transformed. It is no surprise that celebs are jumping on the bandwagon. It is a fact that NFTs can be used in multiple ways including digital artwork such as animation character design digital painting collection of selfies or vlogs and many more digital entities. As a result they may be used to signify the possession of any specific object whether it be digital or physical. NFTs are digital tokens that
Current injection and voltage insertion attacks against the VMG-KLJN secure key exchanger,2,In this paper the vulnerability of the Vadai Mingesz and Gingl (VMG)- Kirchhoff-Law-Johnson-Noise (KLJN) Key Exchanger (Nature Science Report 5 (2015) 13653) against two active attacks is demonstrated. The security vulnerability arises from the fact that the effective driving impedances are different between the HL and LH cases for the VMG-KLJN scheme; whereas for the ideal KLJN scheme they are same. Two defense schemes are shown against these attacks but each of them can protect against only one of the attack types; but not against the two attacks simultaneously. The theoretical results are confirmed by computer simulations.
On the Use of Semantically-Aligned Speech Representations for Spoken Language Understanding,3,In this paper we examine the use of semantically-aligned speech representations for end-to-end spoken language understanding (SLU). We employ the recently-introduced SAMU-XLSR model which is designed to generate a single embedding that captures the semantics at the utterance level semantically aligned across different languages. This model combines the acoustic frame-level speech representation learning model (XLS-R) with the Language Agnostic BERT Sentence Embedding (LaBSE) model. We show that the use of the SAMU-XLSR model instead of the initial XLS-R model improves significantly the performance in the framework of end-to-end SLU. Finally we present the benefits of using this model towards language
Estimating the hardness of SAT encodings for Logical Equivalence Checking of Boolean circuits,0,In this paper we investigate how to estimate the hardness of Boolean satisfiability (SAT) encodings for the Logical Equivalence Checking problem (LEC). Meaningful estimates of hardness are important in cases when a conventional SAT solver cannot solve a SAT instance in a reasonable time. We show that the hardness of SAT encodings for LEC instances can be estimated \textit{w.r.t.} some SAT partitioning. We also demonstrate the dependence of the accuracy of the resulting estimates on the probabilistic characteristics of a specially defined random variable associated with the considered partitioning. The paper proposes several methods for constructing partitionings which when used
BanglaParaphrase: A High-Quality Bangla Paraphrase Dataset,3,In this work we present BanglaParaphrase a high-quality synthetic Bangla Paraphrase dataset curated by a novel filtering pipeline. We aim to take a step towards alleviating the low resource status of the Bangla language in the NLP domain through the introduction of BanglaParaphrase which ensures quality by preserving both semantics and diversity making it particularly useful to enhance other Bangla datasets. We show a detailed comparative analysis between our dataset and models trained on it with other existing works to establish the viability of our synthetic paraphrase data generation pipeline. We are making the dataset and models publicly available at
Multi-Agent Chance-Constrained Stochastic Shortest Path with Application to Risk-Aware Intelligent Intersection,0,In transportation networks where traffic lights have traditionally been used for vehicle coordination intersections act as natural bottlenecks. A formidable challenge for existing automated intersections lies in detecting and reasoning about uncertainty from the operating environment and human-driven vehicles. In this paper we propose a risk-aware intelligent intersection system for autonomous vehicles (AVs) as well as human-driven vehicles (HVs). We cast the problem as a novel class of Multi-agent Chance-Constrained Stochastic Shortest Path (MCC-SSP) problems and devise an exact Integer Linear Programming (ILP) formulation that is scalable in the number of agents' interaction points (e.g. potential collision points at the
Query-based Industrial Analytics over Knowledge Graphs with Ontology Reshaping,1,Industrial analytics that includes among others equipment diagnosis and anomaly detection heavily relies on integration of heterogeneous production data. Knowledge Graphs (KGs) as the data format and ontologies as the unified data schemata are a prominent solution that offers high quality data integration and a convenient and standardised way to exchange data and to layer analytical applications over it. However poor design of ontologies of high degree of mismatch between them and industrial data naturally lead to KGs of low quality that impede the adoption and scalability of industrial analytics. Indeed such KGs substantially increase the training time of writing
ASTA: Learning Analytical Semantics over Tables for Intelligent Data Analysis and Visualization,1,Intelligent analysis and visualization of tables use techniques to automatically recommend useful knowledge from data thus freeing users from tedious multi-dimension data mining. While many studies have succeeded in automating recommendations through rules or machine learning it is difficult to generalize expert knowledge and provide explainable recommendations. In this paper we present the recommendation of conditional formatting for the first time together with chart recommendation to exemplify intelligent table analysis. We propose analytical semantics over tables to uncover common analysis pattern behind user-created analyses. Here we design analytical semantics by separating data focus from user intent which extract the user
Network Intrusion Detection System in a Light Bulb,2,Internet of Things (IoT) devices are progressively being utilised in a variety of edge applications to monitor and control home and industry infrastructure. Due to the limited compute and energy resources active security protections are usually minimal in many IoT devices. This has created a critical security challenge that has attracted researchers' attention in the field of network security. Despite a large number of proposed Network Intrusion Detection Systems (NIDSs) there is limited research into practical IoT implementations and to the best of our knowledge no edge-based NIDS has been demonstrated to operate on common low-power chipsets found in the
From Mimicking to Integrating: Knowledge Integration for Pre-Trained Language Models,3,Investigating better ways to reuse the released pre-trained language models (PLMs) can significantly reduce the computational cost and the potential environmental side-effects. This paper explores a novel PLM reuse paradigm Knowledge Integration (KI). Without human annotations available KI aims to merge the knowledge from different teacher-PLMs each of which specializes in a different classification problem into a versatile student model. To achieve this we first derive the correlation between virtual golden supervision and teacher predictions. We then design a Model Uncertainty--aware Knowledge Integration (MUKI) framework to recover the golden supervision for the student. Specifically MUKI adopts Monte-Carlo Dropout to estimate
Graphical Join: A New Physical Join Algorithm for RDBMSs,1,Join operations (especially n-way many-to-many joins) are known to be time- and resource-consuming. At large scales with respect to table and join-result sizes current state of the art approaches (including both binary-join plans which use Nested-loop/Hash/Sort-merge Join algorithms or alternatively worst-case optimal join algorithms (WOJAs)) may even fail to produce any answer given reasonable resource and time constraints. In this work we introduce a new approach for n-way equi-join processing the Graphical Join (GJ). The key idea is two-fold: First to map the physical join computation problem to PGMs and introduce tweaked inference algorithms which can compute a Run-Length Encoding
PatternRank: Leveraging Pretrained Language Models and Part of Speech for Unsupervised Keyphrase Extraction,3,Keyphrase extraction is the process of automatically selecting a small set of most relevant phrases from a given text. Supervised keyphrase extraction approaches need large amounts of labeled training data and perform poorly outside the domain of the training data (Bennani-Smires et al. 2018). In this paper we present PatternRank which leverages pretrained language models and part-of-speech for unsupervised keyphrase extraction from single documents. Our experiments show PatternRank achieves higher precision recall and F1 -scores than previous state-of-the-art approaches. In addition we present the KeyphraseVectorizers package which allows easy modification of part-of-speech patterns for candidate keyphrase selection and hence adaptation
Knowledge Graph Curation: A Practical Framework,1,Knowledge Graphs (KGs) have shown to be very important for applications such as personal assistants question-answering systems and search engines. Therefore it is crucial to ensure their high quality. However KGs inevitably contain errors duplicates and missing values which may hinder their adoption and utility in business applications as they are not curated e.g. low-quality KGs produce low-quality applications that are built on top of them. In this vision paper we propose a practical knowledge graph curation framework for improving the quality of KGs. First we define a set of quality metrics for assessing the status of KGs Second we
Knowledge Management System with NLP-Assisted Annotations: A Brief Survey and Outlook,1,Knowledge management systems are in high demand for industrial researchers chemical or research enterprises or evidence-based decision making. However existing systems have limitations in categorizing and organizing paper insights or relationships. Traditional databases are usually disjoint with logging systems which limit its utility in generating concise collated overviews. In this work we briefly survey existing approaches of this problem space and propose a unified framework that utilizes relational databases to log hierarchical information to facilitate the research and writing process or generate useful knowledge from references or insights from connected concepts. This framework of knowledge management system enables novel functionalities
WawPart: Workload-Aware Partitioning of Knowledge Graphs,1,Large-scale datasets in the form of knowledge graphs are often used in numerous domains today. A knowledge graphs size often exceeds the capacity of a single computer system especially if the graph must be stored in main memory. To overcome this knowledge graphs can be partitioned into multiple sub-graphs and distributed as shards among many computing nodes. However performance of many common tasks performed on graphs such as querying suffers as a result. This is due to distributed joins mandated by graph edges crossing (cutting) the partitions. In this paper we propose a method of knowledge graph partitioning that takes
AWAPart: Adaptive Workload-Aware Partitioning of Knowledge Graphs,1,Large-scale knowledge graphs are increasingly common in many domains. Their large sizes often exceed the limits of systems storing the graphs in a centralized data store especially if placed in main memory. To overcome this large knowledge graphs need to be partitioned into multiple sub-graphs and placed in nodes in a distributed system. But querying these fragmented sub-graphs poses new challenges such as increased communication costs due to distributed joins involving cut edges. To combat these problems a good partitioning should reduce the edge cuts while considering a given query workload. However a partitioned graph needs to be continually re-partitioned
LSI: A Learned Secondary Index Structure,1,Learned index structures have been shown to achieve favorable lookup performance and space consumption compared to their traditional counterparts such as B-trees. However most learned index studies have focused on the primary indexing setting where the base data is sorted. In this work we investigate whether learned indexes sustain their advantage in the secondary indexing setting. We introduce Learned Secondary Index (LSI) a first attempt to use learned indexes for indexing unsorted data. LSI works by building a learned index over a permutation vector which allows binary search to performed on the unsorted base data using random access. We additionally
Legal Element-oriented Modeling with Multi-view Contrastive Learning for Legal Case Retrieval,3,Legal case retrieval which aims to retrieve relevant cases given a query case plays an essential role in the legal system. While recent research efforts improve the performance of traditional ad-hoc retrieval models legal case retrieval is still challenging since queries are legal cases which contain hundreds of tokens. Legal cases are much longer and more complicated than keywords queries. Apart from that the definition of legal relevance is beyond the general definition. In addition to general topical relevance the relevant cases also involve similar situations and legal elements which can support the judgment of the current case. In this
Entity Disambiguation with Entity Definitions,3,Local models have recently attained astounding performances in Entity Disambiguation (ED) with generative and extractive formulations being the most promising research directions. However previous works limited their studies to using as the textual representation of each candidate only its Wikipedia title. Although certainly effective this strategy presents a few critical issues especially when titles are not sufficiently informative or distinguishable from one another. In this paper we address this limitation and investigate to what extent more expressive textual representations can mitigate it. We thoroughly evaluate our approach against standard benchmarks in ED and find extractive formulations to be particularly well-suited
Capturing Global Structural Information in Long Document Question Answering with Compressive Graph Selector Network,3,Long document question answering is a challenging task due to its demands for complex reasoning over long text. Previous works usually take long documents as non-structured flat texts or only consider the local structure in long documents. However these methods usually ignore the global structure of the long document which is essential for long-range understanding. To tackle this problem we propose Compressive Graph Selector Network (CGSN) to capture the global structure in a compressive and iterative manner. Specifically the proposed model consists of three modules: local graph network global graph network and evidence memory network. Firstly the local graph network
Synthetic Dataset Generation for Privacy-Preserving Machine Learning,2,Machine Learning (ML) has achieved enormous success in solving a variety of problems in computer vision speech recognition object detection to name a few. The principal reason for this success is the availability of huge datasets for training deep neural networks (DNNs). However datasets cannot be publicly released if they contain sensitive information such as medical records and data privacy becomes a major concern. Encryption methods could be a possible solution however their deployment on ML applications seriously impacts classification accuracy and results in substantial computational overhead. Alternatively obfuscation techniques could be used but maintaining a good trade-off between visual
Inferring Tabular Analysis Metadata by Infusing Distribution and Knowledge Information,1,Many data analysis tasks heavily rely on a deep understanding of tables (multi-dimensional data). Across the tasks there exist comonly used metadata attributes of table fields / columns. In this paper we identify four such analysis metadata: Measure/dimension dichotomy common field roles semantic field type and default aggregation function. While those metadata face challenges of insufficient supervision signals utilizing existing knowledge and understanding distribution. To inference these metadata for a raw table we propose our multi-tasking Metadata model which fuses field distribution and knowledge graph information into pre-trained tabular models. For model training and evaluation we collect a large corpus
Mixture of Attention Heads: Selecting Attention Heads Per Token,3,Mixture-of-Experts (MoE) networks have been proposed as an efficient way to scale up model capacity and implement conditional computing. However the study of MoE components mostly focused on the feedforward layer in Transformer architecture. This paper proposes the Mixture of Attention Heads (MoA) a new architecture that combines multi-head attention with the MoE mechanism. MoA includes a set of attention heads that each has its own set of parameters. Given an input a router dynamically selects a subset of $k$ attention heads per token. This conditional computation schema allows MoA to achieve stronger performance than the standard multi-head attention layer.
The Effects of Data Quality on Machine Learning Performance,1,Modern artificial intelligence (AI) applications require large quantities of training and test data. This need creates critical challenges not only concerning the availability of such data but also regarding its quality. For example incomplete erroneous or inappropriate training data can lead to unreliable models that produce ultimately poor decisions. Trustworthy AI applications require high-quality training and test data along many dimensions such as accuracy completeness consistency and uniformity. We explore empirically the relationship between six of the traditional data quality dimensions and the performance of fifteen widely used machine learning (ML) algorithms covering the tasks of classification regression and clustering
An IoT-Enriched Event Log for Process Mining in Smart Factories,1,Modern technologies such as the Internet of Things (IoT) are becoming increasingly important in various domains including Business Process Management (BPM) research. One main research area in BPM is process mining which can be used to analyze event logs e.g. for checking the conformance of running processes. However there are only a few IoT-based event logs available for research purposes. Some of them are artificially generated and the problem occurs that they do not always completely reflect the actual physical properties of smart environments. In this paper we present an IoT-enriched XES event log that is generated by a physical
Cyber-Resilient Privacy Preservation and Secure Billing Approach for Smart Energy Metering Devices,2,Most of the smart applications such as smart energy metering devices demand strong privacy preservation to strengthen data privacy. However it is difficult to protect the privacy of the smart device data especially on the client side. It is mainly because payment for billing is computed by the server deployed at the client's side and it is highly challenging to prevent the leakage of client's information to unauthorised users. Various researchers have discussed this problem and have proposed different privacy preservation techniques. Conventional techniques suffer from the problem of high computational and communication overload on the client side. In addition
Belief functions on ordered frames of discernment,0,Most questionnaires offer ordered responses whose order is poorly studied via belief functions. In this paper we study the consequences of a frame of discernment consisting of ordered elements on belief functions. This leads us to redefine the power space and the union of ordered elements for the disjunctive combination. We also study distances on ordered elements and their use. In particular from a membership function we redefine the cardinality of the intersection of ordered elements considering them fuzzy.
Regret Analysis of the Stochastic Direct Search Method for Blind Resource Allocation,0,Motivated by programmatic advertising optimization we consider the task of sequentially allocating budget across a set of resources. At every time step a feasible allocation is chosen and only a corresponding random return is observed. The goal is to maximize the cumulative expected sum of returns. This is a realistic model for budget allocation across subdivisions of marketing campaigns when the objective is to maximize the number of conversions. We study direct search (aka pattern search) methods for linearly constrained and derivative-free optimization in the presence of noise. Those algorithms are easy to implement and particularly suited to constrained optimization.
MultiGuard: Provably Robust Multi-label Classification against Adversarial Examples,2,Multi-label classification which predicts a set of labels for an input has many applications. However multiple recent studies showed that multi-label classification is vulnerable to adversarial examples. In particular an attacker can manipulate the labels predicted by a multi-label classifier for an input via adding carefully crafted human-imperceptible perturbation to it. Existing provable defenses for multi-class classification achieve sub-optimal provable robustness guarantees when generalized to multi-label classification. In this work we propose MultiGuard the first provably robust defense against adversarial examples to multi-label classification. Our MultiGuard leverages randomized smoothing which is the state-of-the-art technique to build provably robust classifiers. Specifically
Effective Metaheuristic Based Classifiers for Multiclass Intrusion Detection,2,Network security has become the biggest concern in the area of cyber security because of the exponential growth in computer networks and applications. Intrusion detection plays an important role in the security of information systems or networks devices. The purpose of an intrusion detection system (IDS) is to detect malicious activities and then generate an alarm against these activities. Having a large amount of data is one of the key problems in detecting attacks. Most of the intrusion detection systems use all features of datasets to evaluate the models and result in is low detection rate high computational time and
Safety Verification for Neural Networks Based on Set-boundary Analysis,0,Neural networks (NNs) are increasingly applied in safety-critical systems such as autonomous vehicles. However they are fragile and are often ill-behaved. Consequently their behaviors should undergo rigorous guarantees before deployment in practice. In this paper we propose a set-boundary reachability method to investigate the safety verification problem of NNs from a topological perspective. Given an NN with an input set and a safe set the safety verification problem is to determine whether all outputs of the NN resulting from the input set fall within the safe set. In our method the homeomorphism property of NNs is mainly exploited which establishes
Neurosymbolic Programming for Science,0,Neurosymbolic Programming (NP) techniques have the potential to accelerate scientific discovery across fields. These models combine neural and symbolic components to learn complex patterns and representations from data using high-level concepts or known constraints. As a result NP techniques can interface with symbolic domain knowledge from scientists such as prior knowledge and experimental context to produce interpretable outputs. Here we identify opportunities and challenges between current NP models and scientific workflows with real-world examples from behavior analysis in science. We define concrete next steps to move the NP for science field forward to enable its use broadly for workflows across
FastPacket: Towards Pre-trained Packets Embedding based on FastText for next-generation NIDS,2,New Attacks are increasingly used by attackers everyday but many of them are not detected by Intrusion Detection Systems as most IDS ignore raw packet information and only care about some basic statistical information extracted from PCAP files. Using networking programs to extract fixed statistical features from packets is good but may not enough to detect nowadays challenges. We think that it is time to utilize big data and deep learning for automatic dynamic feature extraction from packets. It is time to get inspired by deep learning pre-trained models in computer vision and natural language processing so security deep learning
DIGAT: Modeling News Recommendation with Dual-Graph Interaction,3,News recommendation (NR) is essential for online news services. Existing NR methods typically adopt a news-user representation learning framework facing two potential limitations. First in news encoder single candidate news encoding suffers from an insufficient semantic information problem. Second existing graph-based NR methods are promising but lack effective news-user feature interaction rendering the graph-based recommendation suboptimal. To overcome these limitations we propose dual-interactive graph attention networks (DIGAT) consisting of news- and user-graph channels. In the news-graph channel we enrich the semantics of single candidate news by incorporating the semantically relevant news information with a semantic-augmented graph (SAG). In the user-graph
The Fungibility of Non-Fungible Tokens: A Quantitative Analysis of ERC-721 Metadata,2,Non-Fungible Tokens (NFTs) digital certificates of ownership for virtual art have until recently been traded on a highly lucrative and speculative market. Yet an emergence of misconceptions along with a sustained market downtime are calling the value of NFTs into question. This project (1) describes three properties that any valuable NFT should possess (permanence immutability and uniqueness) (2) creates a quantitative summary of permanence as an initial criteria and (3) tests our measures on 6 months of NFTs on the Ethereum blockchain finding 45% of ERC721 tokens in our corpus do not satisfy this initial criteria. Our work could help
Viterbi Decoding of Directed Acyclic Transformer for Non-Autoregressive Machine Translation,3,Non-autoregressive models achieve significant decoding speedup in neural machine translation but lack the ability to capture sequential dependency. Directed Acyclic Transformer (DA-Transformer) was recently proposed to model sequential dependency with a directed acyclic graph. Consequently it has to apply a sequential decision process at inference time which harms the global translation accuracy. In this paper we present a Viterbi decoding framework for DA-Transformer which guarantees to find the joint optimal solution for the translation and decoding path under any length constraint. Experimental results demonstrate that our approach consistently improves the performance of DA-Transformer while maintaining a similar decoding speedup.
An Exploration of Hierarchical Attention Transformers for Efficient Long Document Classification,3,Non-hierarchical sparse attention Transformer-based models such as Longformer and Big Bird are popular approaches to working with long documents. There are clear benefits to these approaches compared to the original Transformer in terms of efficiency but Hierarchical Attention Transformer (HAT) models are a vastly understudied alternative. We develop and release fully pre-trained HAT models that use segment-wise followed by cross-segment encoders and compare them with Longformer models and partially pre-trained HATs. In several long document downstream classification tasks our best HAT model outperforms equally-sized Longformer models while using 10-20% less GPU memory and processing documents 40-45% faster. In a series
